company_id,period_id,metric_id,actual_budget,amount
CC0050,20241,13,ACTUAL,172397
CC0080,20241,13,ACTUAL,7330252.170000002
CC0010,20241,13,ACTUAL,2489908.799999997
CC0024,20241,13,ACTUAL,1546572.5700000005
CC0085,20241,13,ACTUAL,46640581.259999976
CC0031,20241,13,ACTUAL,13671212.585499987
CC0059,20241,13,ACTUAL,5537900.9745000005
CC0001,20241,13,ACTUAL,79083515.97000001
CC0057,20241,13,ACTUAL,63603
CC0003,20241,13,ACTUAL,24078165.15000017
CC0002,20241,13,ACTUAL,3690
CC0008,20241,13,ACTUAL,216371
CC0025,20241,13,ACTUAL,4340594.33
CC0004,20241,13,ACTUAL,-3233613.95
CC0066,20241,13,ACTUAL,7986401.330000002
CC0023,20241,13,ACTUAL,9427047.77760638
CC0009,20241,13,ACTUAL,1400737.160000001
CC0062,20241,13,ACTUAL,3217969.0299999993
CC0011,20241,13,ACTUAL,25487358.98999998
CC0047,20241,13,ACTUAL,22581237.445813335
CC0044,20241,13,ACTUAL,25805580.150000013
CC0045,20241,13,ACTUAL,13489601.957156673
CC0005,20241,13,ACTUAL,557919
CC0046,20241,13,ACTUAL,2413043.1099999957
CC0058,20241,13,ACTUAL,166027
CC0013,20241,13,ACTUAL,3527110
CC0020,20241,13,ACTUAL,114572
CC0006,20241,13,ACTUAL,1167901.160000001
CC0017,20241,13,ACTUAL,1205460.577797085
CC0014,20241,13,ACTUAL,-142269.06999999657
CC0007,20241,13,ACTUAL,-330152
CC0053,20241,13,ACTUAL,-60508.25
CC0043,20241,13,ACTUAL,0
CC0050,20241,13,BUDGET,42018.965320370444
CC0080,20241,13,BUDGET,-3801752.46051379
CC0010,20241,13,BUDGET,-5457600
CC0024,20241,13,BUDGET,698975.779629871
CC0085,20241,13,BUDGET,21453293.118606757
CC0031,20241,13,BUDGET,8653559.765947804
CC0059,20241,13,BUDGET,3695181.85712613
CC0001,20241,13,BUDGET,70649617.26337546
CC0057,20241,13,BUDGET,60186.20541666669
CC0003,20241,13,BUDGET,24078165.15000017
CC0002,20241,13,BUDGET,3690
CC0008,20241,13,BUDGET,216371
CC0025,20241,13,BUDGET,5247847.529444061
CC0004,20241,13,BUDGET,-2724947.031041667
CC0066,20241,13,BUDGET,10587134.789171346
CC0023,20241,13,BUDGET,13003943.8801572
CC0009,20241,13,BUDGET,2095044.2687101308
CC0062,20241,13,BUDGET,5105679.671918925
CC0011,20241,13,BUDGET,59152070.3590837
CC0047,20241,13,BUDGET,53822641.8135538
CC0044,20241,13,BUDGET,62481687.446099065
CC0045,20241,13,BUDGET,34979151.46605116
CC0005,20241,13,BUDGET,2138709.5241668504
CC0046,20241,13,BUDGET,9694081.46732163
CC0058,20241,13,BUDGET,691552.1991776256
CC0013,20241,13,BUDGET,21734690
CC0020,20241,13,BUDGET,722047.2067117214
CC0006,20241,13,BUDGET,8005392
CC0017,20241,13,BUDGET,47381007.28518008
CC0014,20241,13,BUDGET,22254170
CC0007,20241,13,BUDGET,3227778.83033034
CC0053,20241,13,BUDGET,35590.527083333334
CC0043,20241,13,BUDGET,
CC0007,20242,13,ACTUAL,7020147
CC0003,20242,13,ACTUAL,140181177.7000003
CC0031,20242,13,ACTUAL,11983252.09
CC0080,20242,13,ACTUAL,1866502.9699797183
CC0050,20242,13,ACTUAL,91523
CC0024,20242,13,ACTUAL,1427487.9200000004
CC0013,20242,13,ACTUAL,27674943
CC0011,20242,13,ACTUAL,57205278.52
CC0085,20242,13,ACTUAL,32350090.71999999
CC0004,20242,13,ACTUAL,-3132065
CC0059,20242,13,ACTUAL,3851235.0088333357
CC0001,20242,13,ACTUAL,71396647.92
CC0008,20242,13,ACTUAL,-14159
CC0066,20242,13,ACTUAL,8409553.659999996
CC0006,20242,13,ACTUAL,7144030.540000014
CC0025,20242,13,ACTUAL,4247137.210000001
CC0046,20242,13,ACTUAL,7104599.814247884
CC0044,20242,13,ACTUAL,38342920.86000004
CC0062,20242,13,ACTUAL,3165696.370000001
CC0023,20242,13,ACTUAL,8035766.045
CC0045,20242,13,ACTUAL,11143880.888421088
CC0047,20242,13,ACTUAL,13045744.94100254
CC0014,20242,13,ACTUAL,3791776.400000043
CC0058,20242,13,ACTUAL,137053
CC0009,20242,13,ACTUAL,646710.1900000013
CC0020,20242,13,ACTUAL,-160229
CC0002,20242,13,ACTUAL,12916.96
CC0017,20242,13,ACTUAL,1846365.4894292504
CC0010,20242,13,ACTUAL,-4612681.080000013
CC0053,20242,13,ACTUAL,-47317
CC0057,20242,13,ACTUAL,-335573.18000000017
CC0007,20242,13,BUDGET,866729.4814670207
CC0003,20242,13,BUDGET,20530178
CC0031,20242,13,BUDGET,3378237.7142921463
CC0080,20242,13,BUDGET,-4746934.517604348
CC0050,20242,13,BUDGET,42018.965320370444
CC0024,20242,13,BUDGET,698470.08
CC0013,20242,13,BUDGET,13793753
CC0011,20242,13,BUDGET,34404158
CC0085,20242,13,BUDGET,21453293.118606757
CC0004,20242,13,BUDGET,-5010851.586597223
CC0059,20242,13,BUDGET,3756457.4269605875
CC0001,20242,13,BUDGET,71376704.51445885
CC0008,20242,13,BUDGET,-14159
CC0066,20242,13,BUDGET,9712680.067537844
CC0006,20242,13,BUDGET,8381133.999999996
CC0025,20242,13,BUDGET,5239821.257748444
CC0046,20242,13,BUDGET,8970000
